Reading records: 973ms
KD-tree:
Element 258 of 20000, Depth 11, Axis 1: lon=-66.99, lat=10.55
Element 259 of 20000, Depth 13, Axis 1: lon=-69.83, lat=11.00
Element 260 of 20000, Depth 12, Axis 0: lon=-68.96, lat=12.18
Element 261 of 20000, Depth 13, Axis 1: lon=-66.99, lat=10.57
Element 262 of 20000, Depth 14, Axis 0: lon=-68.29, lat=12.17
Element 263 of 20000, Depth 10, Axis 0: lon=-66.90, lat=10.61
Element 264 of 20000, Depth 13, Axis 1: lon=-66.66, lat=10.30
Element 265 of 20000, Depth 12, Axis 0: lon=-66.48, lat=10.32
Element 266 of 20000, Depth 13, Axis 1: lon=-66.42, lat=10.25
Element 267 of 20000, Depth 14, Axis 0: lon=-63.50, lat=10.42
Element 268 of 20000, Depth 11, Axis 1: lon=-61.16, lat=10.73
Element 269 of 20000, Depth 13, Axis 1: lon=-64.00, lat=11.00
Element 270 of 20000, Depth 12, Axis 0: lon=-61.65, lat=12.19
Element 271 of 20000, Depth 13, Axis 1: lon=-61.21, lat=13.05
Element 272 of 20000, Depth 14, Axis 0: lon=-61.07, lat=14.65
Element 273 of 20000, Depth 8, Axis 0: lon=-61.02, lat=14.64
Element 274 of 20000, Depth 13, Axis 1: lon=-60.37, lat=-2.57
Element 275 of 20000, Depth 12, Axis 0: lon=-58.98, lat=2.84
Element 276 of 20000, Depth 13, Axis 1: lon=-58.14, lat=3.90
Element 277 of 20000, Depth 11, Axis 1: lon=-53.03, lat=3.93
Element 278 of 20000, Depth 13, Axis 1: lon=-59.42, lat=4.86
Element 279 of 20000, Depth 12, Axis 0: lon=-58.94, lat=4.89
Element 280 of 20000, Depth 13, Axis 1: lon=-53.03, lat=3.93
Element 281 of 20000, Depth 14, Axis 0: lon=-56.19, lat=4.03
Element 282 of 20000, Depth 10, Axis 0: lon=-53.01, lat=4.05
Element 283 of 20000, Depth 13, Axis 1: lon=-41.73, lat=-6.75
Element 284 of 20000, Depth 12, Axis 0: lon=-36.65, lat=-7.16
Element 285 of 20000, Depth 13, Axis 1: lon=-34.93, lat=-8.04
Element 286 of 20000, Depth 14, Axis 0: lon=-36.54, lat=-5.85
Element 287 of 20000, Depth 11, Axis 1: lon=-45.26, lat=-5.51
Element 288 of 20000, Depth 13, Axis 1: lon=-51.99, lat=-3.62
Element 289 of 20000, Depth 12, Axis 0: lon=-51.97, lat=1.72
Element 290 of 20000, Depth 13, Axis 1: lon=-39.36, lat=-5.22
Element 291 of 20000, Depth 14, Axis 0: lon=-38.53, lat=-3.79
Element 292 of 20000, Depth 9, Axis 1: lon=-52.32, lat=4.92
Element 293 of 20000, Depth 13, Axis 1: lon=-59.85, lat=6.19
Element 294 of 20000, Depth 12, Axis 0: lon=-59.71, lat=7.74
Element 295 of 20000, Depth 13, Axis 1: lon=-58.53, lat=6.60
Element 296 of 20000, Depth 14, Axis 0: lon=-58.83, lat=7.21
Element 297 of 20000, Depth 11, Axis 1: lon=-59.53, lat=13.19
Element 298 of 20000, Depth 13, Axis 1: lon=-61.02, lat=14.64
Element 299 of 20000, Depth 12, Axis 0: lon=-61.02, lat=14.64
Element 300 of 20000, Depth 13, Axis 1: lon=-60.98, lat=13.89
Element 301 of 20000, Depth 14, Axis 0: lon=-61.01, lat=14.65
Element 302 of 20000, Depth 10, Axis 0: lon=-58.15, lat=5.57
Element 303 of 20000, Depth 13, Axis 1: lon=-58.13, lat=6.45
Element 304 of 20000, Depth 12, Axis 0: lon=-57.82, lat=6.28
Element 305 of 20000, Depth 13, Axis 1: lon=-16.56, lat=13.44
Element 306 of 20000, Depth 14, Axis 0: lon=-16.56, lat=13.44
Element 307 of 20000, Depth 11, Axis 1: lon=-16.65, lat=13.45
Element 308 of 20000, Depth 13, Axis 1: lon=-38.32, lat=13.58
Element 309 of 20000, Depth 12, Axis 0: lon=-17.32, lat=14.78
Element 310 of 20000, Depth 13, Axis 1: lon=-16.40, lat=13.94
Element 311 of 20000, Depth 14, Axis 0: lon=-16.95, lat=14.79
Element 312 of 20000, Depth 5, Axis 1: lon=-91.41, lat=15.04
Element 313 of 20000, Depth 13, Axis 1: lon=-157.85, lat=21.33
Element 314 of 20000, Depth 12, Axis 0: lon=-156.31, lat=20.80
Element 315 of 20000, Depth 13, Axis 1: lon=-155.43, lat=19.59
Element 316 of 20000, Depth 11, Axis 1: lon=-158.04, lat=21.48
Element 317 of 20000, Depth 13, Axis 1: lon=-159.56, lat=22.05
Element 318 of 20000, Depth 12, Axis 0: lon=-110.55, lat=29.39
Element 319 of 20000, Depth 13, Axis 1: lon=-104.87, lat=21.84
Element 320 of 20000, Depth 14, Axis 0: lon=-107.37, lat=24.75
Element 321 of 20000, Depth 10, Axis 0: lon=-103.22, lat=20.84
Element 322 of 20000, Depth 13, Axis 1: lon=-101.67, lat=19.16
Element 323 of 20000, Depth 12, Axis 0: lon=-99.95, lat=17.60
Element 324 of 20000, Depth 13, Axis 1: lon=-99.10, lat=18.73
Element 325 of 20000, Depth 14, Axis 0: lon=-99.15, lat=19.32
Element 326 of 20000, Depth 11, Axis 1: lon=-97.42, lat=19.35
Element 327 of 20000, Depth 13, Axis 1: lon=-102.31, lat=27.21
Element 328 of 20000, Depth 12, Axis 0: lon=-102.27, lat=23.55
Element 329 of 20000, Depth 13, Axis 1: lon=-101.26, lat=20.88
Element 330 of 20000, Depth 14, Axis 0: lon=-98.36, lat=24.94
Element 331 of 20000, Depth 9, Axis 1: lon=-98.56, lat=29.46
Element 332 of 20000, Depth 13, Axis 1: lon=-170.00, lat=30.00
Element 333 of 20000, Depth 12, Axis 0: lon=-118.16, lat=33.79
Element 334 of 20000, Depth 13, Axis 1: lon=-117.75, lat=33.64
Element 335 of 20000, Depth 14, Axis 0: lon=-117.93, lat=33.83
Element 336 of 20000, Depth 11, Axis 1: lon=-118.49, lat=34.01
Element 337 of 20000, Depth 13, Axis 1: lon=-119.70, lat=34.40
Element 338 of 20000, Depth 12, Axis 0: lon=-118.49, lat=34.02
Element 339 of 20000, Depth 13, Axis 1: lon=-118.33, lat=34.10
Element 340 of 20000, Depth 14, Axis 0: lon=-118.17, lat=34.18
Element 341 of 20000, Depth 10, Axis 0: lon=-117.15, lat=32.82
Element 342 of 20000, Depth 13, Axis 1: lon=-110.82, lat=32.16
Element 343 of 20000, Depth 12, Axis 0: lon=-106.50, lat=31.81
Element 344 of 20000, Depth 13, Axis 1: lon=-97.71, lat=30.31
Element 345 of 20000, Depth 14, Axis 0: lon=-99.68, lat=31.17
Element 346 of 20000, Depth 11, Axis 1: lon=-116.96, lat=32.50
Element 347 of 20000, Depth 13, Axis 1: lon=-116.73, lat=33.02
Element 348 of 20000, Depth 12, Axis 0: lon=-111.67, lat=34.17
Element 349 of 20000, Depth 13, Axis 1: lon=-101.91, lat=33.58
Element 350 of 20000, Depth 14, Axis 0: lon=-106.05, lat=34.18
Element 351 of 20000, Depth 8, Axis 0: lon=-97.34, lat=32.80
Element 352 of 20000, Depth 13, Axis 1: lon=-91.00, lat=15.44
Element 353 of 20000, Depth 12, Axis 0: lon=-90.95, lat=15.42
Element 354 of 20000, Depth 13, Axis 1: lon=-90.33, lat=15.09
Element 355 of 20000, Depth 11, Axis 1: lon=-91.64, lat=15.60
Element 356 of 20000, Depth 13, Axis 1: lon=-96.28, lat=17.16
Element 357 of 20000, Depth 12, Axis 0: lon=-92.48, lat=17.95
Element 358 of 20000, Depth 13, Axis 1: lon=-91.58, lat=15.66
Element 359 of 20000, Depth 14, Axis 0: lon=-92.25, lat=16.26
Element 360 of 20000, Depth 10, Axis 0: lon=-90.33, lat=15.50
Element 361 of 20000, Depth 13, Axis 1: lon=-90.31, lat=15.10
Element 362 of 20000, Depth 12, Axis 0: lon=-90.09, lat=15.60
Element 363 of 20000, Depth 13, Axis 1: lon=-88.37, lat=15.09
Element 364 of 20000, Depth 14, Axis 0: lon=-88.98, lat=15.57
Element 365 of 20000, Depth 11, Axis 1: lon=-90.07, lat=15.74
Element 366 of 20000, Depth 13, Axis 1: lon=-90.04, lat=16.83
Element 367 of 20000, Depth 12, Axis 0: lon=-89.90, lat=16.90
Element 368 of 20000, Depth 13, Axis 1: lon=-88.59, lat=15.74
Element 369 of 20000, Depth 14, Axis 0: lon=-88.25, lat=17.18
Element 370 of 20000, Depth 9, Axis 1: lon=-96.88, lat=19.80
Element 371 of 20000, Depth 13, Axis 1: lon=-95.45, lat=29.82
Element 372 of 20000, Depth 12, Axis 0: lon=-91.11, lat=30.46
