Reading records: 247ms
Depth 13, Axis 1: lon=-101.907517, lat=33.583325
Depth 9, Axis 1: lon=-86.845200, lat=21.121407
Depth 10, Axis 0: lon=-90.313974, lat=15.100923
Depth 11, Axis 1: lon=-91.583980, lat=15.663419
Depth 12, Axis 0: lon=-90.946053, lat=15.419560
Depth 13, Axis 1: lon=-91.642135, lat=15.603364
Depth 14, Axis 0: lon=-90.999909, lat=15.438397
Depth 13, Axis 1: lon=-90.333333, lat=15.500000
Depth 12, Axis 0: lon=-92.483122, lat=17.950786
Depth 13, Axis 1: lon=-96.875737, lat=19.804373
Depth 14, Axis 0: lon=-96.283425, lat=17.163687
Depth 13, Axis 1: lon=-92.247139, lat=16.257124
Depth 11, Axis 1: lon=-88.588804, lat=15.737910
Depth 12, Axis 0: lon=-88.983798, lat=15.569295
Depth 13, Axis 1: lon=-90.074092, lat=15.737504
Depth 14, Axis 0: lon=-90.091955, lat=15.597469
Depth 13, Axis 1: lon=-88.372322, lat=15.094497
Depth 12, Axis 0: lon=-89.087968, lat=20.609876
Depth 13, Axis 1: lon=-89.900000, lat=16.900000
Depth 14, Axis 0: lon=-90.044834, lat=16.830152
Depth 13, Axis 1: lon=-88.245205, lat=17.182307
Depth 10, Axis 0: lon=-89.721569, lat=32.571150
Depth 11, Axis 1: lon=-91.639880, lat=30.937870
Depth 12, Axis 0: lon=-90.000000, lat=25.000000
Depth 13, Axis 1: lon=-91.114947, lat=30.460337
Depth 14, Axis 0: lon=-95.448460, lat=29.823840
Depth 13, Axis 1: lon=-89.975005, lat=30.032802
Depth 12, Axis 0: lon=-92.310402, lat=34.724024
Depth 13, Axis 1: lon=-93.793152, lat=32.461348
Depth 14, Axis 0: lon=-97.166555, lat=31.553291
Depth 13, Axis 1: lon=-90.871810, lat=32.325861
Depth 11, Axis 1: lon=-86.722527, lat=32.572830
Depth 12, Axis 0: lon=-85.406092, lat=29.774224
Depth 13, Axis 1: lon=-88.104541, lat=30.701669
Depth 14, Axis 0: lon=-85.406705, lat=29.780120
Depth 13, Axis 1: lon=-84.294372, lat=30.467184
Depth 12, Axis 0: lon=-86.806115, lat=33.531265
Depth 13, Axis 1: lon=-88.725027, lat=34.263461
Depth 13, Axis 1: lon=-84.421548, lat=33.767672
Depth 8, Axis 0: lon=-97.576211, lat=35.482571
Depth 9, Axis 1: lon=-97.640341, lat=38.917709
Depth 10, Axis 0: lon=-116.666957, lat=38.503084
Depth 11, Axis 1: lon=-121.830522, lat=37.296891
Depth 12, Axis 0: lon=-119.708861, lat=36.729529
Depth 13, Axis 1: lon=-120.025138, lat=37.270260
Depth 14, Axis 0: lon=-119.760259, lat=36.789708
Depth 13, Axis 1: lon=-119.124506, lat=35.350181
Depth 12, Axis 0: lon=-122.300308, lat=37.872548
Depth 13, Axis 1: lon=-122.355847, lat=37.788497
Depth 14, Axis 0: lon=-123.046641, lat=37.729173
Depth 13, Axis 1: lon=-122.172556, lat=37.758691
Depth 11, Axis 1: lon=-111.422256, lat=37.027739
Depth 12, Axis 0: lon=-101.813796, lat=35.201344
Depth 13, Axis 1: lon=-115.056805, lat=36.244813
Depth 14, Axis 0: lon=-106.627879, lat=35.082437
Depth 13, Axis 1: lon=-99.009067, lat=36.818430
Depth 12, Axis 0: lon=-98.328693, lat=38.521738
Depth 13, Axis 1: lon=-107.816123, lat=37.938744
Depth 14, Axis 0: lon=-113.588358, lat=37.105147
Depth 13, Axis 1: lon=-97.603248, lat=38.829124
Depth 10, Axis 0: lon=-105.549470, lat=38.999972
Depth 11, Axis 1: lon=-111.512620, lat=40.706685
Depth 12, Axis 0: lon=-111.549158, lat=39.498875
Depth 13, Axis 1: lon=-119.802509, lat=39.550384
Depth 14, Axis 0: lon=-120.050353, lat=39.088541
Depth 13, Axis 1: lon=-111.151603, lat=39.781193
Depth 12, Axis 0: lon=-111.503172, lat=40.763432
Depth 13, Axis 1: lon=-112.510188, lat=41.186681
Depth 14, Axis 0: lon=-111.956778, lat=40.775925
Depth 13, Axis 1: lon=-107.548612, lat=43.000771
Depth 11, Axis 1: lon=-99.185282, lat=39.103968
Depth 12, Axis 0: lon=-98.141735, lat=39.013293
Depth 13, Axis 1: lon=-104.858835, lat=38.991238
Depth 14, Axis 0: lon=-98.769034, lat=38.979793
Depth 13, Axis 1: lon=-97.795140, lat=38.973744
Depth 12, Axis 0: lon=-104.954816, lat=39.764713
Depth 13, Axis 1: lon=-105.264620, lat=40.022175
Depth 13, Axis 1: lon=-100.027538, lat=41.501210
Depth 9, Axis 1: lon=-90.241117, lat=38.652954
Depth 10, Axis 0: lon=-90.294615, lat=36.264482
Depth 11, Axis 1: lon=-95.790819, lat=36.052599
Depth 12, Axis 0: lon=-93.735498, lat=35.286334
Depth 13, Axis 1: lon=-95.790882, lat=36.018499
Depth 14, Axis 0: lon=-97.217027, lat=35.317440
Depth 13, Axis 1: lon=-92.644423, lat=35.907864
Depth 12, Axis 0: lon=-95.780062, lat=37.155634
Depth 13, Axis 1: lon=-97.387217, lat=37.685344
Depth 14, Axis 0: lon=-95.884641, lat=36.152278
Depth 13, Axis 1: lon=-92.492427, lat=38.303985
Depth 11, Axis 1: lon=-86.780862, lat=36.187025
Depth 12, Axis 0: lon=-85.223910, lat=35.098753
Depth 13, Axis 1: lon=-86.318470, lat=35.829606
Depth 14, Axis 0: lon=-89.916163, lat=35.129036
Depth 13, Axis 1: lon=-83.952018, lat=35.958461
Depth 12, Axis 0: lon=-85.655235, lat=38.188665
Depth 13, Axis 1: lon=-90.241117, lat=38.652954
